,recipe_name,serving_size,cooking_time,difficulty,ingredients,recipe_url
252,"Cajun roast chicken, veg & spicy gravy",serves 6,1 hr 40 mins,3,"['1 x 1.6kg whole free-range chicken', '1 teaspoon dried oregano', '2 teaspoons smoked paprika', '2 teaspoons cayenne pepper', '1 teaspoon allspice berries', '1 orange', '1 bunch of fresh thyme', 'olive oil', '1 onion', '750g carrots', '1.25kg potatoes', '4 cloves of garlic', '2 tablespoons runny honey', '1 organic chicken stock cube', '1 tablespoon plain flour']",https://www.jamieoliver.com/recipes/chicken/cajun-roast-chicken-veg-spicy-gravy/
253,Sticky pork noodles,serves 4,35 mins,1,"['350g higher-welfare pork tenderloin', '300g broccoli', '410g fresh free-range egg noodles or 240g dried noodles', '2 cloves of garlic', '3cm piece of ginger', '1 tablespoon groundnut oil', '200g beansprouts', 'optional: 1 fresh red chilli', '4 tablespoons low-salt soy sauce', '1 teaspoon Chinese five-spice powder', '1 teaspoon chilli powder', '1½ tablespoons runny honey', '1 tablespoon rice wine vinegar', '1 dash of sesame oil']",https://www.jamieoliver.com/recipes/pork/sticky-pork-noodles/
254,"Warm potato, herring, beetroot & apple salad",serves 4,1 hr,3,"['200g beetroot', '500g Ratte or other waxy potatoes', '1 small apple', '2 marinated herring fillets (see note) or 8-12 pieces from a jar, from sustainable sources', 'a few fresh chives', '½ tablespoon Dijon mustard', '4 tablespoons olive oil', '2 tablespoons red wine vinegar', '1 pinch of granulated sugar', '1 lug of sparkling water']",https://www.jamieoliver.com/recipes/fish/warm-potato-herring-beetroot-apple-salad/
255,Ham & peas,serves 6,3 hrs 50 mins plus soaking overnight,5,"['3 higher-welfare ham hocks (roughly 2.3kg in total)', '2 leeks', '1 stick of celery', '3 carrots', 'olive oil', '2 fresh bay leaves', '100g pearl barley', '1 litre organic chicken stock', '400g frozen peas', '½ a bunch of fresh curly parsley', '1 heaped tablespoon mint sauce']",https://www.jamieoliver.com/recipes/pork/ham-peas/
256,Spicy sticky chicken,serves 4,1 hr 25 mins,3,"['3 fresh red chillies', '2 onions', '4 cloves of garlic', '4 large plum tomatoes', '1 bunch of fresh coriander', '4 large free-range chicken legs, skin on', 'olive oil', '2 teaspoons garam masala', '1 tablespoon crumbled dried curry leaves', '1 tablespoon mustard seeds', '2 tablespoons white wine vinegar', 'fat-free natural yoghurt']",https://www.jamieoliver.com/recipes/chicken/spicy-sticky-chicken/
257,Spinach & tortellini soup,serves 2,15 mins,3,"['1 litre organic chicken or vegetable stock', '2 fresh bay leaves', '200g tortellini', '50g frozen peas', '1 large handful of spinach']",https://www.jamieoliver.com/recipes/pasta/spinach-amp-tortellini-soup/
258,Healthy greens box,serves 2,30 mins,3,"['½ a small head of broccoli', '1 handful of baby spinach', '½ a small bunch of fresh mint', '80g couscous', '1 lemon', '1 handful of mixed seeds', '1 good pinch of ground cumin', 'olive oil', '1 heaped teaspoon harissa', '50g feta cheese']",https://www.jamieoliver.com/recipes/vegetables/healthy-greens-box/
259,Baked potato soup,serves 4–6,2 hrs 20 mins,3,"['3 large baking potatoes or leftover baked potatoes', '40g butter', '1 onion', 'optional: 1 Parmesan rind, whatever size you have in the fridge', '1.5 litres organic chicken or vegetable stock', 'sour cream', '1 small bunch of fresh chives']",https://www.jamieoliver.com/recipes/vegetables/baked-potato-soup/
260,Spicy salt duck,serves 8 to 10 as a starter,45 mins,5,"['4 x 200g duck breasts, skin on, trimmed of excess fat', '2 tablespoons plain flour', '1 teaspoon chilli powder', '½ teaspoon ground cumin', '½ teaspoon ground fennel seeds', '½ teaspoon sichuan seasoning, plus extra to serve (see tip)', '½ teaspoon ground ginger', '1 large red chilli', '2-3 spring onions', '2 lemons', '700ml vegetable oil, for deep-frying']",https://www.jamieoliver.com/recipes/duck/spicy-salt-duck/
261,Black pudding crumpets,serves 2,10 mins,1,"['100g quality black pudding', '1 eating apple', '1 lemon', 'olive oil', '3 tablespoons maple syrup', '4 crumpets', 'extra virgin olive oil', '30g watercress']",https://www.jamieoliver.com/recipes/pork/black-pudding-crumpets/
262,Winter pasta salad,serves 6 to 8,30 mins,3,"['2 cloves of garlic', 'a few sprigs of fresh thyme', '300g wild mushrooms', '300g leftover cooked higher-welfare ham or turkey', '500g short pasta', 'olive oil', '3 tablespoons crème fraîche', '200g baby spinach', 'Parmesan cheese', '1 lemon']",https://www.jamieoliver.com/recipes/pasta/winter-pasta-salad/
263,Christmas veg laksa,serves 4,40 mins,1,"['2 sticks of lemongrass', '5cm piece of ginger', '6 cloves of garlic', '6 shallots', '1 bunch of fresh coriander', '2 teaspoons ground coriander', '1-2 bird’s eye chillies', '6 lime leaves', 'vegetable oil', '1 tablespoon low-salt soy sauce', '1 litre organic vegetable stock', '400ml coconut milk', '200g vermicelli or thin rice noodles', '200g beansprouts', '750g leftover roasted vegetables, such as butternut squash, parsnips, carrots', '2 limes']",https://www.jamieoliver.com/recipes/vegetables/christmas-veg-laksa/
264,Stilton & pear gnocchi,serves 2,25 mins,1,"['1 clove of garlic', '1 large pear', 'a few sprigs of fresh flat-leaf parsley', '1 knob of unsalted butter', '2 tablespoons crème fraîche', '50g stilton', '400g gnocchi']",https://www.jamieoliver.com/recipes/vegetables/stilton-pear-gnocchi/
265,Caribbean turkey with spicy cornbread & chorizo stuffing,serves 18,6 hrs 20 mins plus marinating overnight &amp; resting,5,"['1 x 5-6kg free-range turkey', '4 carrots', '2 clementines', '1 orange', '2 large onions', '2 sticks of celery', '1 tablespoon tamarind paste', '2 tablespoons allspice berries', '1 orange', '1 whole nutmeg, for grating', '½ a bunch of fresh thyme', '4 fresh bay leaves', '200ml golden rum', '2 tablespoons sea salt', '2 tablespoons black pepper', '4 tablespoons olive oil', '½ tablespoons whole cloves', '1 tablespoons Tabasco', '1 tablespoons Tabasco Green Pepper sauce', '1 tablespoons Tabasco Chipotle sauce', '2 tablespoons Worcestershire sauce', '1 tablespoon olive oil, plus extra for greasing', '1 red onion', '1 x 160g tin sweetcorn', '1 small Scotch bonnet chilli', '25g unsalted butter', '120g plain flour', '170g polenta', '1 tablespoon baking powder', '3 tablespoons granulated sugar', '300ml milk', '1 large red onion', '3 cloves of garlic', '1 Scotch bonnet chilli', '420g fresh chorizo sausage', '750g spicy cornbread (see recipe above)', '180g jarred red peppers', '½ a bunch of fresh coriander', '1 bunch of fresh thyme', '4 fresh bay leaves', '3 tablespoons olive oil', '150ml golden rum', '375ml organic chicken stock', '1½ teaspoons paprika', '75g unsalted butter (at room temperature)', '75g dark muscovado sugar', '3 tablespoons dark rum', '800g kale', '1 fresh red chilli', '2 cloves of garlic', '2-3 tablespoons olive oil', '3 tablespoons plain flour', '60ml golden rum', '1 tablespoons tomato paste']",https://www.jamieoliver.com/recipes/turkey/caribbean-turkey-with-spicy-cornbread-chorizo-stuffing/
266,"Sausage, kale & ricotta bake",serves 4,1 hr 10 mins,3,"['1 onion', '2 cloves of garlic', '1 fresh green chilli', 'olive oil', '1 lemon', '4 higher-welfare sausages', '400g conchiglie pasta', '200g kale', '3 sprigs of fresh oregano', '200g ricotta cheese', '30g pecorino cheese']",https://www.jamieoliver.com/recipes/pork/sausage-kale-ricotta-bake/
267,Mash-topped beef & Guinness pie,serves 4,2 hrs 50 mins,3,"['2 onions', '2 cloves of garlic', '2 carrots', '3 stalks of celery', '2 fresh bay leaves', '½ a bunch of fresh thyme', 'olive oil', '500g stewing beef (2.5cm dice)', '3 tablespoons flour', '600ml Guinness', '2 teaspoons brown sugar', '450g potatoes', '75ml milk', '1 tablespoon butter']",https://www.jamieoliver.com/recipes/beef/mash-topped-beef-guinness-pie/
268,Apple & Lancashire cheese pie,serves 6 ,1 hr 10 mins,3,"['500g all butter puff pastry', '1 vegetable stock cube', '300g waxy potatoes', '4 apples, such as Royal Gala, Golden Russet, Cox', '2 shallots', '200-250g Lancashire or sharp Cheddar cheese', '2 sprigs of fresh thyme', '1 large free-range egg']",https://www.jamieoliver.com/recipes/vegetables/apple-amp-lancashire-cheese-pie/
269,"Venison shanks, juniper & redcurrants",serves 6,4 hrs 30 mins,3,"['4 venison shanks', '1½ tablespoons juniper berries', '1 large knob of butter', 'olive oil', '4 red onions', '2 celery stalks', '2 punnets of redcurrants', '300ml red wine', 'a few sprigs of fresh rosemary', '800ml organic beef stock']",https://www.jamieoliver.com/recipes/stews/venison-shanks-juniper-amp-redcurrants/
270,Venison dopiaza,serves 6,4 hrs 35 mins plus marinating,5,"['2 teaspoons cumin seeds', '1 tablespoon coriander seeds', '2 teaspoons black peppercorns', '1 tablespoon cardamom pods', '4 cloves of garlic', '5cm piece of ginger', '1kg venison neck fillet', '4 heaped tablespoons natural yoghurt, plus extra to serve', '9 onions', '4 fresh chillies', 'ghee or butter', '2 teaspoons garam masala', '3 ripe tomatoes', '1 bunch of fresh coriander']",https://www.jamieoliver.com/recipes/game/venison-dopiaza/
271,Venison steak-frites,serves 2,20 mins plus marinating time,3,"['1 clove of garlic', '1 dried red chilli', '2 sprigs of fresh rosemary', '½ an orange or 1 lemon', 'olive oil', '2 venison haunch steaks', 'English mustard', 'cranberry sauce or redcurrant jelly', '500g baking potatoes', '1 litre vegetable oil, for deep-frying']",https://www.jamieoliver.com/recipes/game/venison-steak-frites/
272,Chicken & green mango Thai salad,"serves 4 as a main, 6 as a starter",1 hr,3,"['1 handful of unsalted peanuts', '2 x 300g free-range chicken breasts', '1-2 carrots', '1 cucumber', '1 green mango', '1 bunch of fresh mint', '1 small red onion', '2 spring onions', '1 handful of ripe plum or cherry tomatoes', 'optional: 1 handful of beansprouts', 'optional: 1 handful of deep-fried beancurd', 'optional: a few sprigs of fresh coriander', 'optional: 1 fresh red chilli', '2 tablespoons fish sauce', '3 tablespoons rice wine vinegar', '1 lime', '2 tablespoons palm sugar', '1 clove of garlic', '1-2 fresh red or green Bird’s Eye chillies']",https://www.jamieoliver.com/recipes/chicken/chicken-green-mango-thai-salad/
273,Chickpea flour pancakes with salad & chutney,serves 4,55 mins,3,"['½ a medium onion', '½ a fresh green chilli', 'a few sprigs of fresh coriander', '½ teaspoon cumin seeds', '1 teaspoon dried pomegranate seeds (see note)', '300g gram (chickpea) flour', '½ teaspoon ground coriander', '¼ teaspoon ground turmeric', 'red chilli powder, to taste', 'sunflower oil, for greasing', '50g golden raisins', '300g ripe tomatoes', '2cm piece of ginger', 'a few sprigs of fresh coriander', '1 tablespoon sunflower oil', '1 tablespoon panch phoran (see note)', '1 small dried red chilli', '1 tablespoon tomato purée', '100g palm sugar', '60ml white wine vinegar', '½ teaspoon ground coriander', '¼ teaspoon garam masala', '2 ripe avocados', '1 large grapefruit', '½ medium red onion', '1 small bunch of baby rocket', '2 tablespoon olive oil', '1 tablespoon aged balsamic vinegar']",https://www.jamieoliver.com/recipes/vegetables/chickpea-flour-pancakes-with-salad-chutney/
274,Pasta with aubergine & tomato sauce,serves 4 to 6,40 mins,3,"['1 small onion', '2 cloves of garlic', '½ a bunch of fresh basil', '2 aubergines', '4-6 tablespoons olive oil', '1 x 400g tin of quality chopped tomatoes', '500g dried rigatoni', '80g ricotta cheese']",https://www.jamieoliver.com/recipes/pasta/pasta-with-aubergine-tomato-sauce/
275,"Kale, fried chorizo & crusty croutons with a poached egg",serves 2,15 mins,3,"['60g quality chorizo', 'olive oil', '1 slice of crusty bread', '150g kale', '1 clove of garlic', '2 large free-range eggs', '2 tablespoons sherry vinegar']",https://www.jamieoliver.com/recipes/eggs/kale-fried-chorizo-amp-crusty-croutons-with-a-poached-egg/
276,Bertie’s Minervois lapin,serves 4,1 hr 10 mins,3,"['olive oil', '1 whole rabbit, gutted and jointed, liver and kidneys reserved', '1 onion', '3 big cloves of garlic', '12 banana shallots', '1 bunch of baby carrots', '6 baby turnips or 1 medium turnip', '4 fresh bay leaves', '100g golden sultanas', '750ml Muscat de St Jean de Minervois, or other sweet wine', 'optional: 1 tablespoon onion jam']",https://www.jamieoliver.com/recipes/game/bertie-s-minervois-lapin/
277,Omelette aux fines herbes,serves 1,10 mins,1,"['2 large free-range eggs, at room temperature', 'a few sprigs of mixed herbs, such as chives, tarragon, chervil and parsley', '1 large knob of butter']",https://www.jamieoliver.com/recipes/eggs/omelette-aux-fines-herbes/
278,Pulled brisket chilli,serves 20 to 25,4 hrs 55 mins,3,"['1.5kg beef brisket', '1 large stick of cinnamon', '1 tablespoon ground cumin', '1 tablespoon smoked paprika', '1 heaped tablespoon dried oregano', 'olive oil', '2 fresh bay leaves', '2 red peppers', '2 yellow peppers', '2 x 400g tins of plum tomatoes', '400ml organic beef stock', '3-4 fresh red chillies', '2 red onions', '½ a bunch of fresh coriander', 'red wine vinegar', 'soft tortillas', 'Greek-style yoghurt', '6 ripe avocados', '1 bunch of fresh coriander', '1 small red onion', '4-5 limes', '4 ripe mixed-colour tomatoes', '1-2 fresh red chillies']",https://www.jamieoliver.com/recipes/beef/pulled-brisket-chilli/
279,"Fennel, crab & orange salad",serves 2,15 mins,1,"['1 bulb of fennel', '2 oranges', '2 fresh sprigs of mint', '1 ripe avocado', '½ a fresh green chilli', '100g white crabmeat, from sustainable sources', '2 tablespoons extra virgin olive oil']",https://www.jamieoliver.com/recipes/seafood/fennel-crab-orange-salad/
280,Pasta and green olives,serves 2,15 mins,1,"['250g orecchiette', '3 tablespoons olive oil', '2 cloves of garlic', '1 x 150g jar of green olives (stones in)', '8 tablespoons passata']",https://www.jamieoliver.com/recipes/pasta/pasta-and-green-olives/
281,Quiche lorraine with carrot & parsley salad,serves 10-12,1 hr 25 mins plus chilling,3,"['1 tablespoon butter', '140g higher-welfare bacon or lardons', '140g higher-welfare ham', '140g Gruyère cheese', '250ml crème fraîche', '2 large free-range eggs', '2 large free-range egg yolks', '250ml milk', '1 pinch of ground nutmeg', '500g flour', '130g unsalted butter', '2 large free-range egg yolks', '6 large carrots', 'a few sprigs of fresh flat-leaf parsley', '4 tablespoons extra virgin olive oil', '1 lemon']",https://www.jamieoliver.com/recipes/eggs/quiche-lorraine-with-carrot-parsley-salad/
282,"Tomato, black olive, feta & anchovy tart",serves 4–6,1 hr 10 mins plus chilling time,3,"['olive oil', '1 red onion', '2 cloves of garlic', '1 x 400g tin of quality plum tomatoes', '1 tablespoon tomato purée', '6 sprigs of fresh thyme', '100g feta cheese', '75g Kalamata olives', '12 anchovies, from sustainable sources', '330g plain flour, plus extra for dusting', '½ teaspoon sugar', '170g unsalted butter (cold)']",https://www.jamieoliver.com/recipes/fish/tomato-black-olive-feta-amp-anchovy-tart/
283,Wild rabbit stew,serves 4,1 hr 20 mins,5,"['2 whole rabbits, wild if possible', '2 tablespoons English mustard powder', '2 tablespoons plain flour', '4 small onions', '2 sticks of celery', '10 small carrots', '1 tablespoon butter', 'a few sprigs of fresh thyme', '570ml pale ale', '½ teaspoon English mustard']",https://www.jamieoliver.com/recipes/game/wild-rabbit-stew/
284,Trout with ham and cider,serves 2,20 mins,1,"['2 whole trout, from sustainable sources', '1 thick slice of ham', 'a few sprigs of fresh parsley', 'plain flour, for dusting', '1 knob of unsalted butter', '1 tablespoon olive oil', '1 wineglass of dry cider']",https://www.jamieoliver.com/recipes/fish/trout-with-ham-and-cider/
285,Pistou soup,serves 4,40 mins,3,"['4 tablespoons olive oil', '1 onion', '3 cloves of garlic', '3 leeks', '3 potatoes', '3 carrots', '1 stick of celery', '3 courgettes', '2 sprigs of fresh flat-leaf parsley', '2 fresh bay leaves', '250g baby green beans', '1 x 400g tin of chopped tomatoes', '1 x 400g tin of cannellini beans', '1 x 400g tin of borlotti beans', '70g small macaroni', '5 cloves of garlic', '6 sprigs of fresh basil', '60g Parmesan cheese', '3 tablespoons extra virgin olive oil']",https://www.jamieoliver.com/recipes/vegetables/pistou-soup/
286,Irish stew,serves 4,1 hr 55 mins,3,"['50g butter', '8 lamb chump chops', '3 onions', '2 carrots', '2 large potatoes', '6 sprigs of fresh thyme', '3 fresh bay leaves', '150g pearl barley']",https://www.jamieoliver.com/recipes/lamb/irish-stew/
287,Pumpkin & ginger soup,serves 4,1 hr,3,"['1kg pumpkin', '2 shallots', '75g ginger', 'a few sprigs of fresh herbs, such as chives, mint', 'extra virgin olive oil', '1 litre organic vegetable stock', '125ml reduced fat coconut milk, plus extra to serve', '½ tablespoon chilli powder', '1 lime']",https://www.jamieoliver.com/recipes/vegetables/pumpkin-ginger-soup/
288,Duck rillettes,serves 2,2 hrs 10 mins,3,"['2 duck legs', '250g duck fat', '2 cloves of garlic', '5 sprigs of fresh thyme', '50g shelled pistachios', '50g sultanas', '1 teaspoon shallot vinegar']",https://www.jamieoliver.com/recipes/duck/duck-rillettes/
289,Baked sole goujons,serves 4,25 mins,1,"['olive oil', '450g lemon sole fillets, skinned, from sustainable sources', '50g plain flour', '2 large free-range eggs', '1 tablespoons sweet smoked paprika', '2 large handfuls breadcrumbs']",https://www.jamieoliver.com/recipes/fish/baked-sole-goujons/
290,Lamb chops with ratatouille,serves 4,45 mins,3,"['2 cloves of garlic', '2 onions', '2 sticks of celery', '2 courgettes', '1 aubergine', '2 ripe tomatoes', '1 sprig of fresh thyme', 'olive oil', '1 tablespoon caperberries', '1 handful of black olives', '8 lamb chops']",https://www.jamieoliver.com/recipes/lamb/lamb-chops-with-ratatouille/
291,Tomato & caper linguine,serves 4,15 mins,1,"['400g dried linguine', 'olive oil', '350g tomato passata', '5 tablespoons baby capers', '1 lemon', 'Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta/tomato-caper-linguine/
292,Kerala fish curry,serves 6,40 mins,3,"['6 shallots', '4 cloves of garlic', '2.5cm piece of ginger', '1 fresh green chilli', '750g firm white fish, from sustainable sources', 'groundnut oil', '1 teaspoon mustard seeds', '20 curry leaves', '1 tablespoon chilli powder', '1 teaspoon turmeric', '1 x 400g tin of light coconut milk', '1 x 400g tin of quality chopped tomatoes', 'a few sprigs of fresh coriander']",https://www.jamieoliver.com/recipes/fish/keralan-fish-curry/
293,Spiced sea bass with caramelised fennel,serves 2,45 mins,1,"['3 bulbs of fennel', '40g butter', 'olive oil', '2 whole sea bass, gutted and scaled, from sustainable sources', '1 clove of garlic', '1 fresh red chilli', '1 lemon']",https://www.jamieoliver.com/recipes/fish/spiced-sea-bass-with-caramelised-fennel/
294,Thai-style mussels,serves 2,15 mins,1,"['1kg mussels, debearded, from sustainable sources', '4 spring onions', '2 cloves of garlic', '½ a bunch of fresh coriander', '1 stick of lemongrass', '1 fresh red chilli', 'groundnut oil', '1 x 400ml tin of reduced fat coconut milk', '1 tablespoon fish sauce', '1 lime']",https://www.jamieoliver.com/recipes/seafood/thai-style-mussels/
295,Mexican black bean burgers with lime & coriander,serves 6,1 hr 30 mins,3,"['2 x 400g tins of black beans', '1 red onion', '1 fresh red chilli', '½ a bunch of fresh coriander', '1 lime, plus extra to serve', '2 handfuls of rolled oats', '2 tablespoons salted peanuts', '½ teaspoon ground coriander', '1 teaspoon ground cumin', 'olive oil', 'plain flour, for dusting', '1 teaspoon sweet smoked paprika', '6 bread rolls or 12 slices of ciabatta', '1 ripe avocado', 'fresh tomato salsa', 'baby rocket']",https://www.jamieoliver.com/recipes/vegetables/mexican-black-bean-burgers-with-lime-amp-coriander/
296,Squid with tamarind recado & pineapple salsa,serves 6,1 hr 10 mins,3,"['500g squid, cleaned, from sustainable sources', '1 lime', '4 plum tomatoes', '1 onion', '6 cloves of garlic', 'olive oil', '100g tamarind pulp or 80g tamarind paste', '6 dried chipotle chillies', '120g chopped fresh pineapple', '½ a bunch of fresh mint', '½ a lime']",https://www.jamieoliver.com/recipes/seafood/squid-with-tamarind-recado-amp-pineapple-salsa/
297,Lemon sole with chipotle & ancho chilli recado,serves 4,1 hr,3,"['4 lemon sole or dab fillets, skin on, from sustainable sources', '1 lime', '4 cloves of garlic', '2 dried chipotle chillies', '2 dried ancho chillies', '1½ tablespoons dried oregano', '½ a lime', '14 ripe cherry tomatoes', '1 Lebanese cucumber', '3 spring onions', '1 ripe avocado', 'extra virgin olive oil', '1 lime']",https://www.jamieoliver.com/recipes/fish/lemon-sole-with-chipotle-ancho-chilli-recado/
298,Chilli chicken with drunken pinto beans,serves 6,1 hr 50 mins plus marinating,3,"['1 whole free-range chicken, butterflied (ask your butcher to do this)', '3 plum tomatoes', '6 cloves of garlic', '2 dried chipotle chillies', '4 dried guajillo chillies', '4 dried ancho chillies', '1 tablespoon dried oregano', '10 allspice berries', '4 whole cloves', '1 teaspoon cumin seeds', '1 teaspoon ground cinnamon', '100ml cider vinegar', '2 limes', '1 white onion', '6 cloves of garlic', '2 fresh jalapeño chillies', 'olive oil', '2–3 fresh bay leaves', '2 plum tomatoes', '2 x 400g tins pinto beans', '1 x 330ml bottle lager-style or dark Mexican beer, depending on your preference', '6 sprigs of fresh coriander']",https://www.jamieoliver.com/recipes/chicken/chilli-chicken-with-drunken-pinto-beans/
299,Jamie's sweet & sour chicken,serves 6,1 hr 20 mins,3,"['4 free-range chicken thighs, skin on, bone in', '2 teaspoons Chinese five-spice powder', 'olive oil', '1 fresh red chilli', '3cm piece of ginger', '1 bunch of spring onions', '4 cloves of garlic', '2 tablespoons runny honey', '6 ripe plums', '8 tablespoons rice wine vinegar', '2 tablespoons low-salt soy sauce', 'sesame oil', '300g free-range medium egg noodles', '200g sugar-snap peas or mangetout', '125g baby spinach', '1 jasmine tea bag', '¼ of a bunch of fresh mixed soft herbs', '1 lime']",https://www.jamieoliver.com/recipes/chicken/jamie-s-sweet-sour-chicken/
300,Barbecued trout in newspaper,serves 4,45 mins,3,"['2 whole trout, gutted and cleaned, from sustainable sources', '1 bunch of fresh coriander', '2 stalks of lemongrass', '4 cloves of garlic', '5cm piece of ginger', 'optional: 1 fresh red chilli', '6 fresh, frozen or dried lime leaves', '4 limes', 'olive oil', '•\tUnwaxed kitchen string']",https://www.jamieoliver.com/recipes/fish/barbecued-trout-in-newspaper/
301,Monkfish with spinach & feta,serves 2,15 mins,1,"['1 teaspoon cumin seeds', '2 x 150g monkfish fillets, from sustainable sources', '2 sprigs of fresh thyme', 'olive oil', '200g spinach', '50g feta cheese', '½ a lemon']",https://www.jamieoliver.com/recipes/fish/monkfish-with-spinach-feta/
302,"Baked sweet potatoes, avocado & queso fresco",serves 4,1 hr 15 mins,1,"['4 sweet potatoes', 'olive oil', '2 ripe avocados', '1-2 limes', '1 handful of pumpkin seeds', '150g Mexican queso fresco or Spanish manchego']",https://www.jamieoliver.com/recipes/vegetables/baked-sweet-potatoes-avocado-queso-fresco/
303,All-in-one rice & chicken,serves 4,45 mins,1,"['olive oil', '2 free-range chicken legs', '2 free-range chicken thighs', '1 onion', '1 clove of garlic', '2 teaspoons ground coriander', '1 heaped teaspoon ground cumin', '250g long-grain rice', '150g Medjool dates', '1 tablespoon runny honey', 'a few sprigs of fresh coriander']",https://www.jamieoliver.com/recipes/chicken/all-in-one-rice-amp-chicken/
304,Wild rice salad,serves 6,25 mins,1,"['400g mixed rice, such as Camargue, wild, long-grain', '150g mixed nuts', '½ a bunch of fresh basil (15g)', '½ a bunch of fresh mint (15g)', '75g dried apricots', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/rice/wild-rice-salad/
305,Herring tacos,serves 6,30 mins,3,"['4 cloves of garlic', '1 small pinch of cumin seeds', '½ teaspoon fennel seeds', '½ teaspoon chilli flakes', '½ teaspoon sweet paprika', '2 limes', 'olive oil', '8 herring fillets, scaled and pin-boned, from sustainable sources', '150g fat-free natural yoghurt', '12 hard taco shells', '3 baby gem lettuce', '3 ripe avocados', '2 limes', '½ a bunch of fresh coriander', '300g ripe cherry tomatoes', '½ a bunch of fresh coriander', '1 fresh red chilli', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/fish/herring-tacos/
306,Dab & asparagus bake,serves 6,45 mins,3,"['1kg new potatoes', 'olive oil', '1 lemon', '½ a bunch of fresh dill', '6 x 120g dab fillets, from sustainable sources', '220g cooked peeled prawns, from sustainable sources', '200g Greek-style yoghurt', '150g mature Cheddar cheese', '1 teaspoon English mustard', '1 bunch of asparagus']",https://www.jamieoliver.com/recipes/fish/dab-asparagus-bake/
307,Spring pie,serves 6,55 mins plus cooling,1,"['olive oil', '1 x 270g packet of filo pastry', '200g baby spinach', '6 rashers of higher-welfare smoked streaky bacon', '6 large free-range eggs', '200ml milk', '1 teaspoon mustard powder', '½ a bunch of fresh chives', '1 lemon', '3 medium leeks']",https://www.jamieoliver.com/recipes/vegetables/spring-pie/
308,Spicy grilled vegetable rolls & chickpea salad,serves 4,30 mins,3,"['1 tablespoon clear runny honey', '1 tablespoon harissa', '4 baby aubergines', '3 courgettes', '2 green peppers', '2 red peppers', '2 red onions', '2 tomatoes', '2 tablespoons extra virgin olive oil', '2 pieces of Arab-style flatbread', 'salad leaves', '1 x 400g tin of chickpeas', '1 onion', '½ a bunch of fresh flat-leaf parsley', '1 lemon', '½ tablespoon paprika', '½ tablespoon ground cumin', '5 tablespoons extra virgin olive oil']",https://www.jamieoliver.com/recipes/vegetables/spicy-grilled-vegetable-rolls-chickpea-salad/
309,Tofu & chickpea curry with spring greens,serves 4,30 mins,3,"['1 red onion', '3 cloves of garlic', '200g tofu', '1 fresh red chilli', '200g spring greens', '1 tablespoon vegetable oil', '1 tablespoon ground coriander', '2 teaspoons ground cumin', '½ teaspoon cayenne pepper', '1 teaspoon turmeric', '1 x 400g tin of chopped tomatoes', '2 tablespoons olive oil', '1 x 400g tin of chickpeas', '2 teaspoons paprika', '2 teaspoons garam masala', '½ a lemon', '2 teaspoons cumin seeds']",https://www.jamieoliver.com/recipes/vegetables/tofu-chickpea-curry-with-spring-greens/
310,"Pea, mint & basil arancini cakes",serves 4,50 mins plus cooling,3,"['5 spring onions', '1 small clove of garlic', 'olive oil', '160g arborio risotto rice', '80ml white wine', '500ml hot organic vegetable stock', '40g fresh or frozen peas', '20g butter', '1 lemon', '20g Parmesan cheese', '2 sprigs of fresh mint', '½ a bunch of fresh basil', '2 large free-range eggs', '200g fresh breadcrumbs', 'vegetable oil']",https://www.jamieoliver.com/recipes/rice/pea-mint-amp-basil-arancini-cakes/
311,Duck egg frittata with peas & beans,serves 4–6,25 mins,3,"['150g small broad beans', '1 tablespoon olive oil', '6 spring onions, finely chopped', '1 green chilli, finely chopped', '300g Jersey royal potatoes, boiled and sliced', '6 duck eggs', '1 bunch dill, chopped', '150g frozen peas, defrosted', '1 punnet cress', '70g fresh goat’s cheese']",https://www.jamieoliver.com/recipes/eggs/duck-egg-frittata-with-peas-beans/
312,Spinach lasagne,serves 6,50 mins,3,"['70g unsalted butter', '50g plain flour', '800ml milk', '1 fresh bay leaf', '800g spinach', '200g ricotta cheese', '1 whole nutmeg, for grating', '300g fresh lasagne sheets', '100g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta/spinach-lasagne/
313,Braised spring chicken,serves 6,1 hr 55 mins,3,"['5 shallots', '4 cloves of garlic', '200g green beans', '1 x 1.8kg whole free-range chicken', 'olive oil', '120g baby leeks', '200g baby fennel', '3 fresh bay leaves', '2 thin-skinned lemons (or you could use 2 regular)', '200ml white wine', '1 big bunch of fresh basil', '1 bunch of fresh tarragon', '1 bunch of fresh flat-leaf parsley', '1 bunch of fresh mint']",https://www.jamieoliver.com/recipes/chicken/braised-spring-chicken/
314,Saltimbocca alla Romana,serves 4,25 mins,3,"['4 x 150g higher-welfare veal escalopes', '8 fresh sage leaves', '8 slices of higher-welfare prosciutto', '2 tablespoons unsalted butter', 'olive oil', '1 good swig of marsala', '1 lemon']",https://www.jamieoliver.com/recipes/beef/saltimbocca-alla-romana/
